Institution ID,Institution Name,City,State/Province,Country
71,Changchun Architecture &Civil Engineering College,Changchun,Jilin,China
72,Changchun University Of Science And Technology,Changchun,Jilin,China
73,Changsha University,Changsha,Hunan,China
74,Changsha University Of Science & Technology,Changsha,Hunan,China
75,Changsha University Of Science And Technology,Changsha,Hunan,China
76,Cheng Yi College Of Jimei University,Xiamen,Fujian,China
77,Chengdu College Of Univ. Of Elec. Sci. And Tech. Of China,Chengdu,Sichuan,China
78,Chengdu Shishi Cambridge A-Level Center,Chengdu,,China
79,Chengdu Technological University,Chengdu,Sichuan,China
80,Chengdu University Of Information Technology,Chengdu City,Si Chuan Province,China
81,Chengdu University Of Technology,Chengdu,Sichuan,China
82,China Agricultural University,Beijing,,China
83,China Jiangsu University,Zhenjiang,Jiangsu,China
84,China Jiliang University,Hangzhou,Zhejiang,China
85,China Pharmaceutical University,Nanjing City,Jiangsu,China
86,China Three Gorges University,Yichang,Hubei,China
87,China Univercity Of Geosciencesï¼Œbeijing,Beijing,Beijing,China
88,China University Of Geoscience (Wuhan),Wuhan,Hubei,China
89,China University Of Geosciences,Wuhan,Hubei,China
90,China University Of Geosciences (Beijing),Beijing,Beijing,China
91,China University Of Geosciences (Wuhan),Wuhan,Hubei,China
92,China University Of Geosciences Beijing,Beijing,Haidian District,China
93,China University Of Geosciences(Beijing),Beijing,Beijing,China
94,China University Of Geosciences(Wuhan),Wuhan,Hubei,China
95,"China University Of Geosciences, Beijing",Beijing,Beijing,China
96,"China University Of Geosciences,Beijing",Beijing,Beijing,China
97,China University Of Mining And Technology,Xuzhou,Jiangsu,China
98,China University Of Mining And Technology-Beijing,Beijing,,China
99,China University Of Petrolem(Beijing),Beijing,Beijing,China
100,China University Of Petroleum,Qingdao,Shandong,China
101,China University Of Petroleum (East China),Qingdao,Shandong,China
102,China University Of Petroleum(East China),Qingdao,Shandong Province,China
103,"China University Of Petroleum, Beijing",Beijing,,China
104,China University Of Political Science And Law,Beijing,Beijing,China
105,China Welfare Institute,Shanghai,Shanghai,China
106,Chong Qing University,Shapingba,Chongqing,China
107,Chongqing Jiaotong University,Chongqing,Nanping,China
108,Chongqing Normal University,Chongqing,Chongqing,China
109,Chongqing Technology And Business University,Chongqing,,China
110,Chongqing University,Chongqing,Chongqing,China
111,Chongqing University Of Posts And Telecommunications,Chongqing,Chongqing,China
112,Chongqing University Of Science & Technology,Chongqing,,China
113,Chongqing University Of Science &Technology,Chongqing,,China
114,Chongqing University Of Science And Technology,Chongqing,Chongqing,China
115,Chongqing University Of Technology,Chongqing,Chongqing,China
116,Chung Yuan Christian University,Chung Li,,Taiwan
117,"City College, Wuhan University Of Science And Technology",Wuhan,Hubei,China
118,City University Of Hong Kong,Kowloon,,Hong Kong
119,Civil Aviation University Of China,Tianjin,Tianjin,China
120,Clarkson University,Potsdam,Ny,Usa
121,Clemson University,Clemson,Sc,Usa
122,Coe College,Cedar Rapids,Ia,Usa
123,Colby College,Waterville,Me,Usa
124,Colgate University,Hamilton,Ny,Usa
125,College Of Applied Science.Jiang Xi University Of Science And Technology,Ganzhou,Jiang Xi,China
126,"College Of Biochemical Engineering,Beijing Union University",Beijing,Beijing,China
127,College Of Computer And Control Engineering,Tian Jin,,China
128,"College Of Electronic Information And Optical Engineering, Nankai University",Tianjin,,China
129,College Of Information Science & Engineering; Northeastern University,Shenyang,Liaoning,China
130,College Of Information Science And Engineering; Northeastern University,Shenyang,Liaoning,China
131,College Of Mobile Telecommunications. Chongqing University Of Posts And Telecom.,Chongqing,,China
132,College Of Petroleum Engineering,Qingdao,Shandong,China
133,College Of Science,Shanghai,Shanghai,China
134,College Of Science And Technology Of China Three Gorges University,Yichang,Hubei,China
135,"College Of Science, North China University Of Technology",Beijing,Beijing,China
136,"College Of Science, Northeastern University, China",Shenyang,Liaoning,China
137,College Of Sciences,Shenyang,Liaoning,China
138,College Of Sciences ; Northeastern University,Shenyang,Liaoning,China
139,"College Of Sciences, Northeastern University",Shenyang,Liaoning,China
140,College Of Software; Northeastern University,Shenyang,Liaoning,China
141,College Of Wooster,Wooster,Oh,Usa
142,Colorado College,Colorado Springs,Co,Usa
143,Colorado State University,Fort Collins,Co,Usa
144,Columbia University,New York,Ny,Usa
145,Communication University Of China,Beijing,,China
146,Communication University Of Chinaâ ,Beijing,Beijing,China
147,Concordia College Ny,Pleasantville,Ny,Usa
148,Cornell College,Mount Vernon,Ia,Usa
149,Cornell University,Ithaca,Ny,Usa
150,Cupertino High School,Cupertino,Ca,Usa
151,Dalhousie University,Halifax,Nova Scotia,Canada
152,Dalian Institute Of Science And Technology,Dalian,Liaoning,China
153,Dalian Jiaotong University,Dalian,Liaoning,China
154,Dalian Maritime University,Dalian,Liaoning,China
155,Dalian Nationalities University,Dalian,China,China
156,Dalian Neusoft University Of Information,Dalian,Liaoning,China
157,Dalian Ocean University,Dalian,Liaoning,China
158,Dalian Polytechnic University,Dalian,Liaoning,China
159,Dalian University,Dalian City,Liaoning,China
160,Dalian University Of Technology,Dalian,Liaoning,China
161,Dalton State College,Dalton,Ga,Usa
162,Davidson College,Davidson,Nc,Usa
163,"Department Of Economics, Minzu University Of China",Beijing,Beijing,China
164,Department Of Mathematics,Shanghai,,China
165,Department Of Mathematics And Institute Of Natural Sciences,Shanghai,Shanghai,China
166,Department Of Mathematics; Northeastern University,Shenyang,Liaoning,China
167,Dezhou University,Dezhou,Shandong,China
168,Dongbei University Of Finance And Economics,Dalian,Liaoning Province,China
169,Dongguan University Of Technology,Dongguan,Guangdong,China
170,Donghua University,Shanghai,Shanghai,China
171,Duke University,Durham,Nc,Usa
172,Duquesne University,Pittsburgh,Pa,Usa
173,East China Institute Of Technology,Nanchang,Jiangxi,China
174,East China Normal Univeristy,Shanghai,,China
175,East China Normal University,Shanghai,Shanghai,China
176,East China Normal University(China),"Shanghai,China",Shanghai,China
177,East China University Of Political Science And Law,Shanghai,Shanghai,China
178,East China University Of Science And Technology,Shanghai,Shanghai,China
179,Eastern Michigan University,Ypsilanti,Mi,Usa
180,Eastern Oregon University,La Grande,Or,Usa
181,Economics,Beijing,Beijing,China
182,Electrical Engineering,Hangzhou,,China
183,Emory University,Atlanta,Ga,Usa
184,Erasmus University Rotterdam,Rotterdam,,Netherlands
185,Faculty Of Information Science And Engineering; Northeastern University,Shenyang,Liaoning,China
186,Foshan University,Foshan,Guangdong,China
187,Franklin & Marshall College,Lancaster,Pa,Usa
188,Fudan Univerity,Shanghai,,China
189,Fudan University,Shanghai,Shanghai,China
190,Fujian Agriculture And Forestry University,Fuzhou,Fujian,China
191,Fujian Normal University,Fuzhou,Fujian,China
192,Fujian University Of Technology,Fuzhou,Fujian,China
193,"Fuyang Normal College, Anhui Province, China.",Fuyang,Yingzhou,China
194,"Fuyang Normal College, Anhui, China.",Fuyang,,China
195,Fuzhou College Of Foreign Studies And Trade,Fuzhou,Fujian,China
196,Fuzhou University,Fuzhou,Fujian,China
197,Gannan Normal University,Ganzhou,Jiangxi,China
198,Gansu Agricultural University,Lanzhou,Gansu,China
199,Georgetown College,Georgetown,Ky,Usa
200,Georgetown University,Washington,Dc,Usa
201,Georgia College,Milledgeville,Ga,Usa
202,Georgia Southern University,Statesboro,Ga,Usa
203,Goshen College,Goshen,In,Usa
204,Grand View University,Des Moines,Ia,Usa
205,Grinnell College,Grinnell,Ia,Usa
206,Guangdong Ocean University,Zhan Jiang,Guangdong,China
207,Guangdong Pharmaceutical University,Zhongshan,Guangdong,China
208,Guangdong Polytechnic Normal University,Guangzhou,Guangdong,China
209,Guangdong University Of Finance,Guangzhou,Guangdong,China
210,Guangdong University Of Finance & Economics,Guangzhou,Guangdong,China
211,Guangdong University Of Finance And Economics,Guangzhou,Guangdong,China
212,Guangdong University Of Finance And Economy,Guangzhou,Guangdong,China
213,Guangdong University Of Finance And Econonmics,Guangzhou,,China
214,Guangdong University Of Finance Economics,Guangzhou,Guangdong,China
215,Guangdong University Of Foreign Studies,Guangzhou,Guangdong,China
216,Guangdong University Of Petrochemical Technology,Maoming,Guangdong,China
217,Guangdong University Of Technology,Guangzhou,Guangdong,China
218,Guangdong Vocational College Of Environmental Protetion Engineering,Foshan,Guangdong Province,China
219,Guangxi Teachers Education University,Nanning,Guangxi,China
220,Guangxi University,Nanning,Guangxi,China
221,Guangzhou University,Guangzhou,Guangdong Province,China
222,Guilin University Of Electronic Technology,Guilin,Guangxi,China
223,Guizhou University,Guiyang,Guizhou,China
224,Hainan University,Haikou,Hainan,China
225,Hainu University,Haikou,Hainan,China
226,Hangzhou Dianzi University,Hangzhou,Zhejiang,China
227,Hangzhou Normal University,Hangzhou,Zhejiang,China
228,Hangzhou Normal University Qianjiang College,Hangzhou,Zhejiang,China
229,Hannan University,Haikou,Hainan,China
230,Harbin Engineering University,Harbin,Heilongjiang,China
231,Harbin Institute Of Technology,Harbin,Heilongjiang,China
232,Harbin Medical University,Harbin,Hei Long Jiang,China
233,Harbin University Of Commerce,Harbin,Heilongjiang,China
234,Harbin University Of Science And Technology,Harbin,Heilongjiang,China
235,Harbin University Of Science And Technology Rongcheng,Rongcheng,Shandong,China
236,Harvey Mudd College,Claremont,Ca,Usa
237,He'Nan Normal University,Xinxiang,Henan,China
238,Hebei Fanance University,Baoding,Hebei,China
239,Hebei Finance University,Baoding,Hebei,China
240,Hebei Normal University,Shijiazhuang,Hebei,China
241,Hebei United University,Tangshan,Hebei,China
242,Hebei University,Baoding,Hebei,China
243,Hebei University Of Technology,Tianjin,Tianjin,China
244,Hefei No.8 High School,Hefei,Anhui,China
245,Hefei Normal University,Hefei,Anhui,China
246,Hefei University Of Technology,Hefei,Anhui,China
247,Heilongjiang College Of Construction,Harbin,Heilongjiang,China
248,Heilongjiang Institute Of Technology,"Harbin,Heilongjiang Province,China",Heilongjiang,China
249,Heilongjiang University,Harbin,Heilongjiang,China
250,Heilongjiang University Of Science And Technology,Harbin,Heilongjiang,China
251,"Heilongjiang University, China",Harbin,Heilongjiang,China
252,Henan Institute Of Science And Technology,Xinxiang,Henan,China
253,Henan Normal University,Xinxiang,Henan,China
254,Henan Polytechnic University,Jiaozuo City,Henan Province,China
255,Henan University,Kaifeng,Henan,China
256,Henan University Of Economics And Law,Zhengzhou,Henan,China
257,Henan University Of Science & Technology,Luoyang,Henan,China
258,Henan University Of Science And Technology,Luoyang,Henan,China
259,Henan University Of Technology,Zhengzhou,Henan,China
260,Henan University Of Urban Construction,Pingdingshan,Henan,China
261,Hendrix College,Conway,Ar,Usa
262,Hexi Univercity,Zhangye,Gansu,China
263,Hexi University,Zhangye,Gansu,China
264,High School Affiliated To People'S University (Rdfz),Beijing,,China
265,Hohai University,Nanjing,Jiangsu,China
266,Hohai University Changzhou Campus,Changzhou,Jiangsu,China
267,Hohai University Wentian College,Maanshan,Anhui,China
268,Hong Kong Baptist University,Kowloon,,Hong Kong
269,Hong Kong University Of Science And Technology,Clear Water Bay-Kowloon,,Hong Kong
270,Hu Bei Univeristy Of Economics,Wuhan,Hubei,China
271,Hu Bei University Of Economics,Wuhan,Hubei,China
272,Huaibei Normal University,Huaibei,Anhui,China
273,Huaihai Institute Of Technology,Lianyungang,Jiangsu,China
274,Huainan Normal University,Huainan,Anhui,China
275,Huaiyin Normal University,Huaian,Jiangsu,China
276,Huanggang Normal University,Huanggang,Hubei Province,China
277,Huangzhong University Of Science And Technology,Wuhan,Hubei,China
278,Huaqiao University,Quan Zhou,Feng Ze,China
279,Huazhon University Of Science And Technology,Wuhan,Hubei,China
280,Huazhong Agricultural University,Wuhan,Hubei,China
281,Huazhong Agricultural University Chutian College,Wuhan,Hubei,China
282,Huazhong Agriculture University,Wuhan,Hubei,China
283,Huazhong University Of Science & Technlology,Wuhan,Hubei,China
284,Huazhong University Of Science & Technology,Wuhan,Hubei,China
285,Huazhong University Of Science And Technolog,Wuhan,Hubei,China
286,Huazhong University Of Science And Technology,Wuhan,Hubei,China
287,Huazhong University Of Science&Technology,Wuhan,Hubei,China
288,Hubei University,Wuhan,Hubei,China
289,Hubei University Of Economics,Wuhan,Hubei,China
290,Hubei University Of Technology,Wuhan,Hubei Province,China
291,Huizhou University,Huizhou,Guangdong,China
292,Humboldt State University,Arcata,Ca,Usa
293,Hunan Normal University,Changsha,Hunan,China
294,Hunan Police Academy,Changsha,Hunan,China
295,Hunan University,Changsha,Hunan,China
296,Hunan University Of Commerce,Changsha,Hunan,China
297,"Hunan University Of Humanities,Science And Technology",Loudi,Hunan,China
298,Huzhou University,Huzhou,Zhejiang,China
299,Idaho State University,Pocatello,Id,Usa
300,Iinformantion Engineering,Dalian,Liaoning,China
301,Illinois Institute Of Technology,Chicago,Il,Usa
302,Indiana University Bloomington,Bloomington,In,Usa
303,Indiana University Of Pennsylvania,Indiana,Pa,Usa
304,Informantion Engineering,Dalian,Liaoning,China
305,Information,Beijing,,China
306,Information Engineering,Dalian,Liaoning,China
307,Information Engineering University,Zhengzhou,Henan,China
308,Inner Mongolia Agricultural University,Hohhot,,China
309,Inner Mongolia University,Hohhot,Inner Monglia,China
310,Inner Mongolia University For The Nationalities,Tongliao,The Inner Mongolia Autonomous Region,China
311,Inner Mongolia University For The Nationlities,Tongliao,Inner Mongolia Autonomous Region,China
312,Inner Mongolia University Of Finance And Economics,Hohhot,Inner Mongolia,China
313,Inner Mongolia University Of Technology,Hohhot,Inner Mongolia,China
314,Institut Teknologi Bandung,Bandung,Jabar,Indonesia
315,Institute Of Artificial Intelligence And Robotics; Northeastern University,Shenyang,Liaoning,China
316,Institute Of Computer System;Northeastern University,Shenyang,Liaoning,China
317,Institute Of Digital Media Technology; Northeastern University,Shenyang,Liaoning,China
318,Institute Of Electrical Engineering And Automation; Northeastern University,Shenyang,Liaoning,China
319,Institute Of Information Technology Of Guilin University Of Electronic Technology,Guilin,Guangxi,China
320,Institute Of Mechatronics Engineering; Northeastern University,Shenyang,Liaoning,China
321,Institute Of Metallurgical Resource And Environmental Engineering ; Northeastern University,Shenyang,Liaoning,China
322,Institute Of Microelectronics,Beijing,Beijing,China
323,Institute Of Scientific & Engineering Computing,Hangzhou,Zhejiang,China
324,Institute Of Systems Science; Northeastern University,Shenyang,Liaoning,China
325,Institution Of Information Science And Technology,Beijing,China,China
326,Institution Of Innovation; Northeastern University,Shenyang,Liaoning,China
327,Institution Of Intelligent Robots And Pattern Recognition; Northeastern University,Shenyang,Liaoning,China
328,Institution Of Mathematics; Northeastern University,Shenyang,Liaoning,China
329,Institution Of Mathematics;Northeastern University,Shenyang,Liaoning,China
330,Institution Of Maths ; Northeastern University,Shenyang,Liaoning,China
331,Institution Of Metallurgy Resources And Environmental Engineering; Northeastern University,Shenyang,Liaoning,China
332,Institution Of Pattern Recognition ;Northeastern University,Shenyang,Liaoning,China
333,Institution Of Software; Northeastern University,Shenyang,Liaoning,China
334,Institution Of Thermal Science And Power Systems,Hangzhou,Zhejiang,China
335,"International Institute Of Information Technology, Hyderabad",Hyderabad,Telangana,India
336,Iss Of Wuhan University,Wuhan,Hubei Province,China
337,Ithaca College,Ithaca,Ny,Usa
338,Iupui,Indianapolis,In,Usa
339,Jacksonville University,Jacksonville,Fl,Usa
340,James Madison University,Harrisonburg,Va,Usa
341,Jiangnan University,Wuxi,Jiangsu,China
342,Jiangsu Jianzhu Institute,Xuzhou,Jiangsu,China
343,Jiangsu Normal University,Xuzhou,Jiangsu,China
344,Jiangxi Agricultural University,Nanchang,Jiangxi,China
345,Jiangxi College Of Construction,Nanchang,Jiangxi,China
346,Jiangxi Normal University,Nanchang,Jiangxi,China
347,Jiangxi University Of Finance And Economics,Nanchang,Jiangxi,China
348,Jiangxi University Of Science And Technology,Ganzhou,Jiangxi,China
349,Jiangxi University Of Traditional Chinese Medicine,Nanchang,,China
350,Jiansu Jianzhu University,Xuzhou,Jiangsu,China
351,Jilin University,Changchun,Jilin Province,China
352,Jilin University Of Finance And Economics,Changchun,Jinlin,China
353,Jilin University.,Changchun,Jilin,China
354,Jinan University,Guanghzou,Guangdong,China
355,Jinan University Zhuhai Campus,Zhuhai,Guangdong,China
356,Jinhua Polytechnic,Jinhua,Zhejiang,China
357,Jinjiang College Of Sichuan University,Meishan,Sichuan,China
358,Jinling High School,Nanjing,Jiang Su,China
359,Jinling Institute Of Technology,Nanjing,Jiangsu,China
360,Jinshan College Of Fujian Agriculture And Forestry University,Fuzhou,Fujian,China
361,Kansas State University,Manhattan,Ks,Usa
362,Kansas Wesleyan University,Salina,Ks,Usa
363,Kenyon College,Gambier,Oh,Usa
364,Key Laboratory Of Ecological Utilization Of Multi-Metal Intergrown Ores Of Ministry Of Education &School Of Materials And Metall,Shenyang,Liaoning,China
365,Key Laboratory Of Medical Image Computing; Northeastern University,Shenyang,Liaoning,China
366,Kunming University,Kunming,Yunnan,China
367,Kunming University Of Science And Technology,Kunming,Yunnan,China
368,Kwangwoon University,Seoul,,South Korea
369,Lafayette College,Easton,Pa,Usa
370,Lamar University,Beaumont,Tx,Usa
371,Lan Zhou University Of Technology,Lan Zhou,Gansu,China
372,Lanzhou University,Lanzhou,Gansu,China
373,Lanzhou University Of Technology,Lanzhou,Gansu,China
374,Lawrence Technological University,Southfield,Mi,Usa
375,Lehigh University,Bethlehem,Pa,Usa
376,Leshan Normal University,Leshan,Sichuan,China
377,Liaocheng Univ.,Liaocheng,Shandong,China
378,Liaocheng University,Liaocheng,Shandong,China
379,Liaoning Normal University,Dalian,Liaoning,China
380,Liaoning Shihua University,Fushun,Wanghua,China
381,Liaoning Technical University,Huludao,Liaoning,China
382,Liaoning Technical Universty,Fuxin,,China
383,Liaoning University,Shenyang,Liaoning,China
384,Linfield College,Mcminnville,Or,Usa
385,Linnaeus University,Vaxjo,Kronoberg,Sweden
386,Linyi Number 7 Middle School,Linyi,Shandong Provience,China
387,Longdong University,Qingyang,Gausu,China
388,Louisiana Tech University,Ruston,La,Usa
389,Loyola University Maryland,Baltimore,Md,Usa
390,Ludong University,Yantai,Shandong,China
391,Luoyang Institute Of Science And Technology,Luoyang,Henan,China
392,Luoyang Normal University,Luoyang,Henan,China
393,Macau University Of Science And Technology,Macau,,China
394,Madonna University,Livonia,Mi,Usa
395,Maggie Walker Governors School,Richmond,Va,Usa
396,Maryville College,Maryville,Tn,Usa
397,Materials And Metallurgy; Northeastern University,Shenyang,Liaoning,China
398,"Math Institution ,Beihang University",Beijing,China,China
399,Math School,Xiamen,Fujian,China
400,Mathematics,Shanghai,Shanghai,China
401,Mathematics And Systems Science Institute,Beijing,Beijing,China
402,Maths,Shanghai,,China
403,Mercer University,Macon,Ga,Usa
404,Meredith College,Raleigh,Nc,Usa
405,Metropolitan State University Of Denver,Denver,Co,Usa
406,Miami University,Oxford,Oh,Usa
407,Midlands Technical College,Columbia,Sc,Usa
408,Milligan College,Milligan College,Tn,Usa
409,Minnesota State University Moorhead,Moorhead,Mn,Usa
410,Minzu Univercity Of China,Beijing,Beijing,China
411,Minzu University Of China,Beijing,Beijing,China
412,Missouri Southern State University,Joplin,Mo,Usa
413,Montana Tech,Butte,Mt,Usa
414,Morehead State University,Morehead,Ky,Usa
415,Mount Holyoke College,South Hadley,Ma,Usa
416,Mount St. Mary'S University,Emmitsburg,Md,Usa
417,Nanchang Aeronautical University,Nanchang,Jiangxi,China
418,Nanchang Institute Of Technology,Nanchang,Jiangxi,China
419,Nanchang University,Nanchang,Jiangxi,China
420,Nanjing Agricultural University,Nanjing,Jiangsu,China
421,Nanjing College Of Information Technology,Nanjing,Jiangsu,China
422,Nanjing Foreign Language School,Nanjing,Jiangsu,China
423,Nanjing Forestry University,Nanjing,,China
424,Nanjing Normal University Taizhou College,Taizhou,,China
425,Nanjing Tech Uinversity,Nanjing,Jiangsu,China
426,Nanjing Tech University,Nanjing,Jiangsu,China
427,Nanjing University,"Haian,Nantong",Jiangsu,China
428,Nanjing University Of Aeronautics And Astronautics,Nanjing,Jiangsu,China
429,Nanjing University Of Finance&Economics,Nanjing,Jiangsu,China
430,Nanjing University Of Information Science & Technology,"Nanjing,Jiangsu Province",Jiangsu,China
431,Nanjing University Of Information Science And Technology,Nanjing,Jiangsu,China
432,Nanjing University Of Posts & Telecommunications,Nanjing,Jiangshu,China
433,Nanjing University Of Posts And Telecommunications,Nanjing,Jiangsu,China
434,Nanjing University Of Posts&Telecommunications,Nanjing,Jiangsu,China
435,Nanjing University Of Science And Technology,Nanjing,Jiangsu,China
436,Nankai University,Tianjin,Tianjin,China
437,"Nankai University ,China",Tianjing,Tianjing,China
438,"Nankai University,China",Tianjin,Tianjin,China
439,Nantong University,Nantong,Jiangsu,China
440,Nanyang Normal University,Nanyang,Henan,China
441,"National Engineering Research Center For Multimedia Software, Wuhan University",Wuhan,Hubei,China
442,National University Of Defense Technology,Changsha,Hunan,China
443,National University Of Singapore,Singapore,,Singapore
444,Naval Aeronautical And Astronautical University,Yantai,Shandong,China
445,Naval Aeronautical Engineering Institute Qingdao Campus,Qingdao,Shandong,China
446,Naval University Of Engineering,Wuhan,Hubei,China
447,Nc School Of Science And Mathematics,Durham,Nc,Usa
448,Neijiang Normal University,Neijiang,Sichuan,China
449,New York Institute Of Technology,New York,Ny,Usa
450,New York University,New York,Ny,Usa
451,"Ningbo Institute Of Technology, Zhejiang University",Ningbo City,Zhejiang,China
452,Ningbo University,Ningbo,Zhejiang,China
453,Ningxia University,Yinchuan,The Ningxia Hui Autonomous Region,China
454,Nku School Of Mathematical Science,Tianjin,Tianjin,China
455,"No. 10, Huixin Dongjie, Chaoyang District, Beijing, P.R. China",Beijing,Beijing,China
456,North China Electric Poewr University,Bejing,Beijing,China
457,North China Electric Power Univercity,Changping,Beijing,China
458,North China Electric Power University,Baoding,Hebei Province,China
459,North China Electric Power University Baoding,Baoding,Hebei,China
460,North China Electric Power University Science & Technology College,Baoding,Hebei,China
461,North China Institute Of Science And Technology,Beijing,Beijing,China
462,North China University Of Water Resources And Electric Power,Zhengzhou,Henan Province,China
463,North University Of China,Taiyuan,Shanxi,China
464,Northeast Agricultural University,Harbin,Heilongjiang,China
465,Northeast Forestry University,Harbin,Heilongjiang,China
466,Northeast Normal University,Changchun,,China
467,Northeast Petroleum University,Daqing,Heilongjiang,China
468,Northeast Yucai Foreign Language School,Shenyang,Liaoning,China
469,Northeaster University (China),Shenyang,,China
470,Northeastern University,Shenyang,Liaoning,China
471,Northeastern University At Qinhuangdao,Qinhuangdao,Hebei,China
472,"Northeastern University, China",Shenyang,Liaoning,China
473,Northern Kentucky University,Highland Heights,Ky,Usa
474,Northwest A&F University,Yangling,Shannxi Province,China
475,Northwest Missouri State University,Maryville,Mo,Usa
476,Northwest University,Xiâ€™An,Shaanxi Province,China
477,Northwest University For Nationalities,Lanzhou,Gansu,China
478,Northwestern Polytechnical University,Xi'An,Shaanxi,China
479,"Northwestern Polytechnical University, P.R.China",Xi'An,Shaanxi,China
480,Nottingham Trent University,Nottingham,,United Kingdom
481,Ocean Univercity Of China,Qingdao City Shandong Province,,China
482,Ocean University Of China,Shandong,Qingdao,China
483,Officer College Of Chinese People'S Armed Police Force,Chengdu,Sichuan,China
484,Officer'S College Of Capf,Chengdu,Sichuan,China
485,Officers College Of Capf,Chengdu,Sichuan,China
486,Ohio University,Athens,Oh,Usa
487,Olin College,Needham,Ma,Usa
488,Ordos Collegeï¼Œinner Mongolia University,Erdos,Inner Mongolia Autonomous Region,China
489,Oregon State University,Corvallis,Or,Usa
490,P.R.China Beijing Normal University,Beijing,Beijing,China
491,Pacific Lutheran University,Tacoma,Wa,Usa
492,Pacific University,Forest Grove,Or,Usa
493,Paivola School Of Mathematics,Tarttila,,Finland
494,Panzhihua University,Pan Zhihua,Sichuan,China
495,Pattern Recognition ;Northeastern University,Shenyang,Liaoning,China
496,Pattern Recognition;Northeastern University,Shenyang,Liaoning,China
497,Peking Univ.,Beijing,Beijing,China
498,Peking University,Beijing,Beijing,China
499,Pekinguniversity(Pku),Beijing,,China
500,Penn State Abington,Abington,Pa,Usa
501,People'S Public Security University Of China,Beijing,Beijing,China
